,source,target
0,117459,0
1,113162,113166
2,113162,0
3,114782,113162
4,117030,117568
5,111404,0
6,117030,117634
7,111404,113162
8,111404,113166
9,117030,116973
10,111404,116471
11,111404,116405
12,117030,112079
13,111404,117375
14,113312,111404
15,113312,113162
16,113312,103961
17,117375,117472
18,117375,110640
19,117375,111495
20,113605,104214
21,115346,0
22,113605,113677
23,113312,104465
24,111891,15703
25,113312,121650
26,116762,104214
27,111891,111404
28,111891,113162
29,111891,117459
30,117375,0
31,111891,104584
32,104586,104547
33,106823,113162
34,113498,0
35,111775,117467
36,113498,112296
37,124784,117288
38,99987,0
39,110640,117375
40,117782,0
41,121564,0
42,116892,104547
43,116892,114694
44,117925,117467
45,117375,110640
46,112775,113621
47,112775,127374
48,115739,0
49,34179,115739
50,117925,113359
51,117837,0
52,1065,0
53,117925,116707
54,1065,113162
55,34179,110640
56,117837,113677
57,117925,110640
58,118504,0
59,123391,110640
60,1065,116255
61,117925,113621
62,117925,122732
63,117634,0
64,117925,116906
65,105250,113162
66,102372,0
67,117925,113618
68,361,113677
69,361,117288
70,113082,0
71,117925,124630
72,111885,0
73,112883,0
74,113082,111885
75,113755,110640
76,111746,0
77,111885,113082
78,117925,808
79,113082,111746
80,111885,111746
81,361,0
82,117925,808
83,111746,111885
84,113755,102372
85,111746,113082
86,361,121711
87,117509,110640
88,1280,122690
89,1280,122331
90,1280,104586
91,361,114782
92,1280,114674
93,1280,104989
94,117509,110640
95,117509,110640
96,39854,0
97,117925,116255
98,1280,105165
99,1280,18161
100,1280,112293
101,117509,113082
102,1280,121776
103,1280,121776
104,4383,0
105,110640,117782
106,4383,111885
107,113691,125746
108,113691,0
109,103961,99987
110,103961,99987
111,116025,34179
112,116025,118504
113,116025,111746
114,116025,113691
115,117568,117810
116,117579,114782
117,117579,125772
118,113084,0
119,113084,111746
120,113084,113084
121,112775,0
122,112775,114782
123,113084,0
124,103051,0
125,116924,103051
126,106324,0
127,106324,114782
128,113485,0
129,117343,0
130,102768,117467
131,117343,113498
132,102768,0
133,117343,113629
134,117343,112667
135,117343,111852
136,117343,123984
137,117837,114694
138,116706,103500
139,118369,111891
140,116601,0
141,127374,114694
142,117467,0
143,117662,0
144,117467,117608
145,103048,116601
146,116143,116601
147,117662,117662
148,116318,113082
149,110640,113755
150,110640,117662
151,110640,113485
152,110640,117467
153,124777,124646
154,124777,115086
155,110640,4383
156,117381,113677
157,124777,113081
158,117465,8981
159,124777,1788
160,117381,117925
161,110640,103961
162,117381,113565
163,117381,101711
164,118676,110640
165,114090,113930
166,117381,0
167,114090,110640
168,120954,112296
169,117381,113081
170,117381,102768
171,104586,126376
172,115004,117467
173,104586,113755
174,115004,15703
175,116131,39854
176,117381,117381
177,117381,114694
178,120954,0
179,105098,110640
180,104586,0
181,105098,12388
