,source,target
0,94140,0
1,113677,0
2,113677,130364
3,113677,130828
4,113677,95204
5,113677,126187
6,113677,0
7,113677,112184
8,113677,118451
9,113973,0
10,113973,112184
11,113677,0
12,113973,94140
13,113973,112184
14,113973,125928
15,113973,12385
16,113677,0
17,113677,126056
18,113677,109242
19,113677,117634
20,113677,118298
21,113677,122228
22,111852,0
23,111852,116461
24,111852,115371
25,111852,102956
26,131057,0
27,131057,111852
28,131057,125928
29,131057,781
30,105639,123990
31,105639,0
32,116523,0
33,38285,0
34,38285,32605
35,38285,112177
36,38285,117062
37,38285,126056
38,103051,0
39,103051,12385
40,120853,0
41,103051,102443
42,106521,116545
43,120853,120853
44,120853,116545
45,120853,116545
46,120107,0
47,120853,117111
48,38285,112184
49,116100,103051
50,116100,116100
51,116100,113677
52,15703,0
53,38285,524
54,38285,81837
55,38285,781
56,32076,0
57,111949,0
58,111949,116990
59,119366,110640
60,119366,38285
61,119366,131057
62,119366,94140
63,119366,104073
64,119366,101701
65,104853,15703
66,119366,0
67,104853,0
68,117467,0
69,118647,117634
70,118647,35112
71,118647,130890
72,118647,16572
73,118647,16319
74,1788,38285
75,111949,116100
76,118647,38285
77,111949,131317
78,111949,130393
79,118647,121232
80,117467,0
81,118647,117832
82,122250,0
83,118647,117842
84,118647,118369
85,118647,113021
86,118647,111811
87,118647,104977
88,130728,118262
89,118647,94191
90,118647,117140
91,122172,0
92,118647,510
93,118647,120806
94,130728,118262
95,118647,117925
96,117409,117403
97,118647,112079
98,118647,15703
99,118647,112284
100,118647,118823
101,32076,0
102,118647,1210
103,102912,0
104,118647,12385
105,118647,127143
106,103051,104073
107,117409,0
108,118647,95204
109,118647,31879
110,118647,119503
111,118647,102443
112,118647,118298
113,103051,113308
114,103051,115371
115,103051,0
116,103051,38285
117,31817,114870
118,31817,114870
119,31817,130329
120,104853,0
121,118647,0
122,118647,113973
123,118647,113677
124,106373,117409
125,118647,113677
126,118647,106864
127,106373,0
128,118647,112061
129,118647,112184
130,118647,4500
131,105205,0
132,118647,39714
133,118647,95204
134,118647,130333
135,118647,118451
136,118647,130364
137,118647,130828
138,118647,130347
139,118647,112669
140,118647,114298
141,118647,112293
142,102676,116708
143,118647,113308
144,118647,106521
145,118647,116118
146,118647,42005
147,124630,0
148,116427,0
149,31817,0
150,117140,0
151,102676,0
152,116893,118647
153,117467,0
154,124630,0
155,116893,118647
156,117467,119366
157,117467,104073
158,31840,116893
159,116623,0
160,117467,101701
161,121076,110640
162,121076,120806
163,121076,117925
164,117782,0
165,117175,0
166,117175,0
167,121076,130350
168,117175,0
169,117175,0
170,108368,0
171,113809,0
172,121076,118229
173,105639,0
174,121076,0
175,105033,0
176,105205,0
177,108368,0
178,116603,0
179,118229,123990
180,116603,116623
181,116623,116603
182,113565,0
183,118647,116623
184,118229,125928
185,95204,0
186,113565,112976
187,118229,118298
188,118229,102676
189,118229,0
190,113565,118861
191,113565,113887
192,115041,0
193,113565,120537
194,102542,113618
195,106112,116892
