,author_id,body,polarity,subjectivity
0,110640,When will the resources be uploaded in IITBombayX? How will I get the information?,0.0,0.0
1,110640,The resources will be released on Thursday of each week. This information will be updated in the [Course Info page][1]. The [course schedule][2] shows the full course related resource release and assignment submission due dates information.\n\n\n  [1]: https://www.iitbombayx.in/courses/IITBombayX/ET601Tx/2015-16/info\n  [2]: https://www.iitbombayx.in/courses/IITBombayX/ET601Tx/2015-16/0a02e713ddd846ff9c41ba49bf50d133/,0.075,0.4416666666666667
2,117467,In courseware one can already see some quizzes under learning objectives. Why should this be so when even the first week's upload is also a couple of days away??,0.25,0.3333333333333333
3,110640,Thank You for pointing this out. The correction has been made. The module will be available now from Jan 7 12:00 noon IST (06:30 UTC).,0.4,0.4
4,113677,"I wish to know the procedure for getting ISTE certificate. Thereis no info on the the tab ""For ISTE Certificate"".",0.0,0.0
5,110640,"The tab has not been populated as the release is scheduled tomorrow and we are finalizing the formal procedure and verification methods. \n\nISTE certificate will be provided to participants (Engineering College Instructors from India) who perform additional activities (apart from graded activities in the course) that will be uploaded in this section.\n\nParticipants who are interested in getting an ISTE certificate should:\na) Indicate this preference in Course Entry Survey (which will be uploaded in Getting Started section on Jan 7)\nb) Provide proofs for their identity and role in college. (Mechanism will be explained in the survey)\nc) Do regular MOOC graded activities i.e. Knowledge Quizzes, Reflection Quizzes and Resource Creation Assignments\nd) Do ISTE certificate related assignments.\n\nOnce they satisfy both MOOC requirements and ISTE certificate requirements, the certificates will be mailed to the institution address.",0.08333333333333333,0.32564102564102565
6,34091,"I'm from a Management Institution, **not**  from an Engineering College. Can I apply for an ISTE Certificate?",0.0,0.0
7,110640,Sorry.\n\nThe ISTE certificate arrangement is only valid for Engineering College instructors.,0.0,1.0
8,113677,Thank you,0.0,0.0
9,104584,"What is issue, if there is some content/ quiz before hand. I have already started attempting the quizzes. Request you to clarify if any thing is wrong in that. ",-0.5,0.9
10,110640,Nothing wrong in it.\n\nYou will see full set of quizzes from 7th itself.,-0.07500000000000001,0.7250000000000001
11,18538,I'm from a Polytechnic college. Can I apply for an ISTE Certificate?,0.0,0.0
12,110640,Sorry. At this moment certificates are issued only for Engineering college instructors.,-0.25,1.0
13,112220,How do I get Certificate?\n,0.0,0.0
14,110640,"ISTE certificate will be provided to participants (Engineering College Instructors from India) who perform additional activities (apart from graded activities in the course) that will be uploaded in this section.\n\nParticipants who are interested in getting an ISTE certificate should: \n\n - Indicate this preference in Course Entry Survey (which will be\n   uploaded in Getting Started section on Jan 7)  \n - Provide proofs for their identity and role in college. (Mechanism\n   will be explained in the survey)\n - Do regular MOOC graded activities i.e. Knowledge Quizzes, Reflection\n   Quizzes and Resource Creation Assignments \n - Do ISTE certificate related assignments.\n\nOnce they satisfy both MOOC requirements and ISTE certificate requirements, the certificates will be mailed to the institution address.",0.08333333333333333,0.32564102564102565
15,13254,Thankful for giving us this opportunity,0.0,0.0
16,112854,Really Happy to See the Course Content and thank you very much for the wonderful opportunity.,0.6866666666666666,0.7533333333333333
17,443,"Respected sir,\nI have completed the entry Survey.But again it is asking for user inputs.whether my information was stored or should I do it again?\n",0.0,0.0
18,443,It is said that for obtaining certificate we need to get Approval letter from the head of your institution.Will IITBombayX provide the template or should we prepare as per our own college format?,0.6,1.0
19,117317,I think its mentioned that you will receive mail from eoutreach and instructions will be given in it.\n\nSo I guess template will also be given in that mail,0.0,0.0
20,110640,"The survey is designed not to take additional response, can you tell us where you are getting this additional input window?\n\nYour data has been obtained at the backend.",0.0,0.0
21,112284,"Respected sir, I have not able to complete the entry Survey.\nQ1.1 Indicate the country where you are from:\nQ1.2 What is your age (in years)?\n\nfor above Q not showing entry tab and others Qs final submission tab?\n\nHow do i submit Entry survey? ",-0.0375,0.53125
22,13254,Learning objective of conflation algorithm\n\n - A. Student should able to understand the meaning of conflation\n - B.Student should able to perform first step (STOP word removal)\n - C.Student should able to understand that what is mean by STOP word.\n - D.Student should able to identify the application of conflation\n   algorithm\n\n----\nStudents are understood the complexity of learning objectives...\n,0.2767857142857143,0.5172619047619048
23,13254,First Three videos by Prof Sahana are very informative ...Thanks\n,0.225,0.31666666666666665
24,117646,videos by IIT bombay are useful and informative.........thanks,0.3,0.0
25,116973,How to improve the interaction between teachers and students??,0.0,0.0
26,110640,It would be good if you can update the original post with information on the domain and topic being discussed.\n\nAlso the guided discussion statement says give this to students and then initiate the discussion.,0.5375,0.675
27,116973,Thanks for these videos,0.2,0.2
28,117571,We can make the class more interesting by making the students by playing the part of traveling from place to place.\nThen we can teach the same by Euclidean distance.,0.3333333333333333,0.375
